iter	Passed	Remaining
0	329	32640
1	664	32542
2	980	31697
3	1262	30297
4	1530	29071
5	1787	28001
6	2050	27241
7	2302	26475
8	2563	25923
9	2831	25480
10	3091	25014
11	3347	24551
12	3598	24083
13	3858	23699
14	4115	23323
15	4359	22888
16	4624	22579
17	4891	22282
18	5136	21896
19	5392	21568
20	5656	21279
21	5922	20999
22	6174	20672
23	6451	20428
24	6697	20091
25	6950	19782
26	7193	19448
27	7445	19146
28	7694	18838
29	7951	18554
30	8208	18270
31	8489	18039
32	8748	17762
33	8987	17446
34	9278	17231
35	9602	17071
36	9857	16783
37	10106	16490
38	10431	16316
39	10757	16135
40	11009	15843
41	11271	15565
42	11528	15281
43	11796	15013
44	12070	14752
45	12337	14483
46	12601	14210
47	12869	13941
48	13122	13658
49	13381	13381
50	13615	13081
51	13867	12800
52	14110	12512
53	14357	12230
54	14618	11960
55	14884	11694
56	15152	11430
57	15404	11154
58	15671	10890
59	15912	10608
60	16154	10328
61	16435	10073
62	16717	9818
63	16971	9546
64	17203	9263
65	17435	8981
66	17697	8716
67	17972	8457
68	18228	8189
69	18457	7910
70	18736	7652
71	18964	7374
72	19254	7121
73	19508	6854
74	19783	6594
75	20041	6329
76	20280	6057
77	20532	5791
78	20785	5525
79	21074	5268
80	21366	5011
81	21644	4751
82	21903	4486
83	22158	4220
84	22398	3952
85	22680	3692
86	22932	3426
87	23183	3161
88	23423	2895
89	23677	2630
90	23962	2369
91	24223	2106
92	24473	1842
93	24718	1577
94	24942	1312
95	25228	1051
96	25470	787
97	25733	525
98	25996	262
99	26236	0
