iter	Passed	Remaining
0	225	11063
1	369	8860
2	574	8994
3	811	9327
4	1012	9108
5	1239	9088
6	1409	8659
7	1580	8300
8	1752	7982
9	1930	7721
10	2114	7496
11	2289	7249
12	2455	6988
13	2627	6756
14	2785	6499
15	2947	6263
16	3111	6040
17	3249	5777
18	3381	5516
19	3514	5271
20	3647	5036
21	3780	4811
22	3916	4597
23	4056	4394
24	4196	4196
25	4338	4004
26	4470	3807
27	4604	3617
28	4739	3432
29	4873	3249
30	5005	3067
31	5142	2892
32	5267	2713
33	5406	2544
34	5548	2378
35	5696	2215
36	5840	2052
37	5977	1887
38	6111	1723
39	6242	1560
40	6374	1399
41	6509	1239
42	6651	1082
43	6796	926
44	6942	771
45	7089	616
46	7226	461
47	7356	306
48	7487	152
49	7623	0
